TREE_ID;CIVIC_NUMBER;STD_STREET;GENUS_NAME;SPECIES_NAME;CULTIVAR_NAME;COMMON_NAME;ON_STREET_BLOCK;ON_STREET;NEIGHBOURHOOD_NAME;STREET_SIDE_NAME;HEIGHT_RANGE_ID;HEIGHT_RANGE;DIAMETER;DATE_PLANTED;Geom;geo_point_2d
5551;3730;HEATHER ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3700;HEATHER ST;SOUTH CAMBIE;EVEN;1;10-20;4.0;2013-11-04;"{""coordinates"": [-123.12018099933496, 49.25216199864865], ""type"": ""Point""}";49.25216199864865, -123.12018099933496
5692;4;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;0;E 7TH AV;MOUNT PLEASANT;EVEN;2;20-30;23.5;;"{""coordinates"": [-123.10456800024795, 49.264621999509735], ""type"": ""Point""}";49.264621999509735, -123.10456800024795
5710;138;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;100;E 7TH AV;MOUNT PLEASANT;EVEN;2;20-30;17.5;;"{""coordinates"": [-123.10183700013685, 49.264568998719405], ""type"": ""Point""}";49.264568998719405, -123.10183700013685
6027;3029;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3000;E 7TH AV;HASTINGS-SUNRISE;ODD;3;30-40;27.0;;"{""coordinates"": [-123.04062800020549, 49.263893998909566], ""type"": ""Point""}";49.263893998909566, -123.04062800020549
6029;3031;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3000;E 7TH AV;HASTINGS-SUNRISE;ODD;3;30-40;27.0;;"{""coordinates"": [-123.04045899951535, 49.2638939988438], ""type"": ""Point""}";49.2638939988438, -123.04045899951535
6032;3045;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3000;E 7TH AV;HASTINGS-SUNRISE;ODD;3;30-40;29.0;;"{""coordinates"": [-123.04024500005683, 49.263893998921624], ""type"": ""Point""}";49.263893998921624, -123.04024500005683
6037;3070;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3000;E 7TH AV;HASTINGS-SUNRISE;EVEN;3;30-40;28.5;;"{""coordinates"": [-123.03977400030143, 49.26378899909326], ""type"": ""Point""}";49.26378899909326, -123.03977400030143
6042;3095;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3000;E 7TH AV;HASTINGS-SUNRISE;ODD;3;30-40;28.0;;"{""coordinates"": [-123.03935700022585, 49.263891999344764], ""type"": ""Point""}";49.263891999344764, -123.03935700022585
6045;3110;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3100;E 7TH AV;HASTINGS-SUNRISE;EVEN;3;30-40;33.0;;"{""coordinates"": [-123.03864200032852, 49.26378899913421], ""type"": ""Point""}";49.26378899913421, -123.03864200032852
6047;3130;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3100;E 7TH AV;HASTINGS-SUNRISE;EVEN;3;30-40;36.0;;"{""coordinates"": [-123.03829100038618, 49.26378599915287], ""type"": ""Point""}";49.26378599915287, -123.03829100038618
6050;3148;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3100;E 7TH AV;HASTINGS-SUNRISE;EVEN;4;40-50;27.5;;"{""coordinates"": [-123.03784399948073, 49.26378299900535], ""type"": ""Point""}";49.26378299900535, -123.03784399948073
6053;3172;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3100;E 7TH AV;HASTINGS-SUNRISE;EVEN;3;30-40;31.0;;"{""coordinates"": [-123.03723999955096, 49.26378099863052], ""type"": ""Point""}";49.26378099863052, -123.03723999955096
6055;3190;E 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3100;E 7TH AV;HASTINGS-SUNRISE;EVEN;3;30-40;21.5;;"{""coordinates"": [-123.0368910005786, 49.26378299868255], ""type"": ""Point""}";49.26378299868255, -123.0368910005786
6082;23;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;0;W 7TH AV;MOUNT PLEASANT;ODD;2;20-30;13.5;;"{""coordinates"": [-123.10554900000571, 49.26473599876087], ""type"": ""Point""}";49.26473599876087, -123.10554900000571
6083;23;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;0;W 7TH AV;MOUNT PLEASANT;ODD;3;30-40;33.5;;"{""coordinates"": [-123.10540600044762, 49.26473599887438], ""type"": ""Point""}";49.26473599887438, -123.10540600044762
6088;45;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;0;W 7TH AV;MOUNT PLEASANT;ODD;4;40-50;32.5;;"{""coordinates"": [-123.10599399935629, 49.26474699910762], ""type"": ""Point""}";49.26474699910762, -123.10599399935629
6109;177;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;100;W 7TH AV;MOUNT PLEASANT;ODD;2;20-30;21.5;;"{""coordinates"": [-123.10875500034315, 49.26479399863961], ""type"": ""Point""}";49.26479399863961, -123.10875500034315
6113;195;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;100;W 7TH AV;MOUNT PLEASANT;ODD;3;30-40;17.0;;"{""coordinates"": [-123.10905499962495, 49.26480299892241], ""type"": ""Point""}";49.26480299892241, -123.10905499962495
6116;196;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;100;W 7TH AV;MOUNT PLEASANT;EVEN;2;20-30;16.5;;"{""coordinates"": [-123.1092690005491, 49.26470599934359], ""type"": ""Point""}";49.26470599934359, -123.1092690005491
6122;223;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;200;W 7TH AV;MOUNT PLEASANT;ODD;3;30-40;18.0;;"{""coordinates"": [-123.11008299940244, 49.264816999277016], ""type"": ""Point""}";49.264816999277016, -123.11008299940244
6123;236;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;200;W 7TH AV;MOUNT PLEASANT;EVEN;3;30-40;23.0;;"{""coordinates"": [-123.10999700045099, 49.26472199917289], ""type"": ""Point""}";49.26472199917289, -123.10999700045099
6128;262;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;200;W 7TH AV;MOUNT PLEASANT;EVEN;3;30-40;23.0;;"{""coordinates"": [-123.11032499969762, 49.26472499938133], ""type"": ""Point""}";49.26472499938133, -123.11032499969762
6146;2308;HEATHER ST;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2300;HEATHER ST;FAIRVIEW;EVEN;2;20-30;22.5;;"{""coordinates"": [-123.11974000021871, 49.26487799918806], ""type"": ""Point""}";49.26487799918806, -123.11974000021871
6157;731;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;700;W 7TH AV;FAIRVIEW;ODD;2;20-30;14.25;;"{""coordinates"": [-123.12052300045185, 49.26511099923081], ""type"": ""Point""}";49.26511099923081, -123.12052300045185
6158;737;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;700;W 7TH AV;FAIRVIEW;ODD;2;20-30;19.0;;"{""coordinates"": [-123.12073099954489, 49.26511699866263], ""type"": ""Point""}";49.26511699866263, -123.12073099954489
6159;744;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;700;W 7TH AV;FAIRVIEW;EVEN;2;20-30;16.75;;"{""coordinates"": [-123.12094799964495, 49.26501699870469], ""type"": ""Point""}";49.26501699870469, -123.12094799964495
6300;1005;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1000;W 7TH AV;FAIRVIEW;ODD;2;20-30;16.0;;"{""coordinates"": [-123.12701600013263, 49.26521399943553], ""type"": ""Point""}";49.26521399943553, -123.12701600013263
6374;1100;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1100;W 7TH AV;FAIRVIEW;EVEN;3;30-40;16.5;;"{""coordinates"": [-123.12953499933195, 49.26515599924664], ""type"": ""Point""}";49.26515599924664, -123.12953499933195
6383;1140;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1100;W 7TH AV;FAIRVIEW;EVEN;3;30-40;15.0;;"{""coordinates"": [-123.12995899987719, 49.26515599896321], ""type"": ""Point""}";49.26515599896321, -123.12995899987719
6387;1148;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1100;W 7TH AV;FAIRVIEW;EVEN;3;30-40;16.0;;"{""coordinates"": [-123.13011100033137, 49.26516099923922], ""type"": ""Point""}";49.26516099923922, -123.13011100033137
6389;1155;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1100;W 7TH AV;FAIRVIEW;ODD;3;30-40;16.0;;"{""coordinates"": [-123.13028199986626, 49.26526699943875], ""type"": ""Point""}";49.26526699943875, -123.13028199986626
6390;1160;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1100;W 7TH AV;FAIRVIEW;EVEN;3;30-40;8.0;;"{""coordinates"": [-123.13028300010404, 49.26516399872052], ""type"": ""Point""}";49.26516399872052, -123.13028300010404
6493;1254;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1200;W 7TH AV;FAIRVIEW;EVEN;3;30-40;21.0;;"{""coordinates"": [-123.13267100028011, 49.26520299933042], ""type"": ""Point""}";49.26520299933042, -123.13267100028011
6517;1275;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1200;W 7TH AV;FAIRVIEW;ODD;2;20-30;13.0;;"{""coordinates"": [-123.13281500051818, 49.26530799862902], ""type"": ""Point""}";49.26530799862902, -123.13281500051818
6537;1302;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1300;W 7TH AV;FAIRVIEW;EVEN;2;20-30;16.0;;"{""coordinates"": [-123.13408199939536, 49.26522199923438], ""type"": ""Point""}";49.26522199923438, -123.13408199939536
6561;1333;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1300;W 7TH AV;FAIRVIEW;ODD;2;20-30;16.0;;"{""coordinates"": [-123.13431000027116, 49.265329998907525], ""type"": ""Point""}";49.265329998907525, -123.13431000027116
6565;1332;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1300;W 7TH AV;FAIRVIEW;EVEN;2;20-30;13.5;;"{""coordinates"": [-123.13478500047133, 49.265232999187845], ""type"": ""Point""}";49.265232999187845, -123.13478500047133
6567;1335;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1300;W 7TH AV;FAIRVIEW;ODD;2;20-30;12.0;;"{""coordinates"": [-123.1346059995052, 49.26533599876564], ""type"": ""Point""}";49.26533599876564, -123.1346059995052
6571;1347;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1300;W 7TH AV;FAIRVIEW;ODD;2;20-30;17.0;;"{""coordinates"": [-123.13502400037288, 49.26534199927997], ""type"": ""Point""}";49.26534199927997, -123.13502400037288
6576;1356;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1300;W 7TH AV;FAIRVIEW;EVEN;2;20-30;12.0;;"{""coordinates"": [-123.13521100012328, 49.265238998689476], ""type"": ""Point""}";49.265238998689476, -123.13521100012328
6579;1369;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1300;W 7TH AV;FAIRVIEW;ODD;2;20-30;14.0;;"{""coordinates"": [-123.13520600061035, 49.26534699916919], ""type"": ""Point""}";49.26534699916919, -123.13520600061035
6585;1385;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1300;W 7TH AV;FAIRVIEW;ODD;2;20-30;23.0;;"{""coordinates"": [-123.13561100014556, 49.26535299928046], ""type"": ""Point""}";49.26535299928046, -123.13561100014556
6591;1398;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1300;W 7TH AV;FAIRVIEW;EVEN;3;30-40;10.5;;"{""coordinates"": [-123.1356740002666, 49.26524399878758], ""type"": ""Point""}";49.26524399878758, -123.1356740002666
6658;1844;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1800;W 7TH AV;KITSILANO;EVEN;3;30-40;12.0;;"{""coordinates"": [-123.14632000001669, 49.265416999392734], ""type"": ""Point""}";49.265416999392734, -123.14632000001669
6662;1844;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1800;W 7TH AV;KITSILANO;EVEN;2;20-30;10.0;;"{""coordinates"": [-123.14708599960866, 49.26543599885933], ""type"": ""Point""}";49.26543599885933, -123.14708599960866
6663;1845;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1800;W 7TH AV;KITSILANO;ODD;3;30-40;19.0;;"{""coordinates"": [-123.14700700035363, 49.265532999347], ""type"": ""Point""}";49.265532999347, -123.14700700035363
6664;1845;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1800;W 7TH AV;KITSILANO;ODD;3;30-40;18.0;;"{""coordinates"": [-123.14685100059788, 49.265530999296345], ""type"": ""Point""}";49.265530999296345, -123.14685100059788
6666;1874;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1800;W 7TH AV;KITSILANO;EVEN;2;20-30;12.5;;"{""coordinates"": [-123.1474159996415, 49.26544199907158], ""type"": ""Point""}";49.26544199907158, -123.1474159996415
6669;1875;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1800;W 7TH AV;KITSILANO;ODD;3;30-40;18.0;;"{""coordinates"": [-123.14766499977173, 49.26554199923791], ""type"": ""Point""}";49.26554199923791, -123.14766499977173
6678;1922;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1900;W 7TH AV;KITSILANO;EVEN;3;30-40;18.0;;"{""coordinates"": [-123.14884099987484, 49.26545599923562], ""type"": ""Point""}";49.26545599923562, -123.14884099987484
6681;1947;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1900;W 7TH AV;KITSILANO;ODD;3;30-40;19.25;;"{""coordinates"": [-123.1491559996984, 49.26556899917324], ""type"": ""Point""}";49.26556899917324, -123.1491559996984
6682;1960;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1900;W 7TH AV;KITSILANO;EVEN;3;30-40;15.75;;"{""coordinates"": [-123.14919300063953, 49.26547199928115], ""type"": ""Point""}";49.26547199928115, -123.14919300063953
6684;1960;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;1900;W 7TH AV;KITSILANO;EVEN;2;20-30;14.0;;"{""coordinates"": [-123.14952899955296, 49.26547799920515], ""type"": ""Point""}";49.26547799920515, -123.14952899955296
6734;3287;W 48TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;3200;W 48TH AV;KERRISDALE;ODD;0;>90;0.0;2018-03-26;"{""coordinates"": [-123.17801600024049, 49.228560999325566], ""type"": ""Point""}";49.228560999325566, -123.17801600024049
6742;2195;W 7TH AV;PRUNUS;SERRULATA;KWANZAN;KWANZAN FLOWERING CHERRY;2200;YEW ST;KITSILANO;EVEN;3;30-40;14.0;;"{""coordinates"": [-123.1551429994488, 49.26575599910359], ""type"": ""Point""}";49.26575599910359, -123.1551429994488
